"Mr.","นาย"
"Wednesday is Day Off","วันพุธเป็นวันหยุด"
"Work Shift","กะการทำงาน"
"Work Shift & Approvers","กะการทำงานและผู้อนุมัติ"
"Year","ปี"
"Address","ที่อยู่"
"Date","วันที่"
"Holiday","วันหยุด"
"HR","ฝ่ายบุคคล"
"Leave","การลา"
"Setup","ติดตั้ง"
